#DATA DESCRIPTION:
#Citation:	Alonso-Garcia, Montserrat; Kleiven, Helga F; McManus, Jerry F; Moffa-Sanchez, Paola; Broecker, Wallace S; Flower, Benjamin P (2017): IRD record of sediment core GS06-144-03. PANGAEA, https://doi.org/10.1594/PANGAEA.874284, 
#	In supplement to: Alonso-Garcia, M et al. (2017): Freshening of the Labrador Sea as a trigger for Little Ice Age development. Climate of the Past, 13(4), 317-331, https://doi.org/10.5194/cp-13-317-2017
#Coverage:	LATITUDE: 57.290000 * LONGITUDE: -48.370000
#	MINIMUM DEPTH, sediment/rock: 0.000 m * MAXIMUM DEPTH, sediment/rock: 0.345 m
#Event(s):	GS06-144-03 * LATITUDE: 57.290000 * LONGITUDE: -48.370000 * ELEVATION: -3432.0 m * LOCATION: Labrador Sea * METHOD/DEVICE: Gravity corer (GC)
#Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com) * COMMENT: mcd
#	Age [a AD] (Age) * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com)
#	AGE [ka BP] (Age) * GEOCODE * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com)
#	Grains, hematite-stained [%] (HSG) * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com)
#	Volcanic glass, white [%] (Volc glass white) * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com)
#	Volcanic glass [%] (Volc glass) * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com) * COMMENT: total
#	Coal clasts or fragments [%] (Coal clasts) * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com)
#	Ice rafted debris [#/g] (IRD) * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com)
#	Grains, hematite-stained [#/g] (HSG) * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com)
#	Volcanic glass [#/g] (Volc glass) * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com)
#	Volcanic glass, white [#/g] (Volc glass white) * PI: Alonso-Garcia, Montserrat (https://orcid.org/0000-0002-0241-2178, montsealonso82@gmail.com)
#License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
#Size:	612 data points
#
Depth[m]	Age_AD	Age_BP	HSG[%]	Volc_glass_white[%]	Volc_glass[%]	Coal_clasts[%]	IRD	HSG	Volc_glass	Volc_glass_white
0.140	1403.50	0.5465	10.04	19.44	50.85	0.00	68232.648	6852.424	34699.509	13267.459
0.145	1388.90	0.5611	8.33	15.79	39.91	0.88	34432.859	2869.405	13742.939	5436.767
0.150	1374.20	0.5758	5.34	19.10	58.71	0.28	28711.034	1532.330	16855.635	5484.130
0.155	1359.60	0.5904	5.94	12.33	36.07	1.37	30872.247	1832.599	11136.564	3806.167
0.160	1345.00	0.6050	10.70	13.17	31.28	0.00	19213.343	2055.749	6009.111	2530.152
0.165	1330.30	0.6197	4.80	16.24	39.85	1.48	42575.023	2042.344	16967.168	6912.550
0.170	1315.70	0.6343	7.41	16.67	43.33	0.74	19499.259	1444.390	8449.679	3249.877
0.175	1301.00	0.6490	6.85	19.86	53.88	0.91	70515.211	4829.809	37994.497	14006.446
0.180	1286.40	0.6636	4.97	18.23	46.13	0.00	27140.723	1349.539	12520.720	4948.309
0.185	1271.80	0.6782	12.94	18.12	47.90	1.62	25770.972	3336.048	12343.378	4670.468
0.190	1257.10	0.6929	4.78	12.63	36.52	1.02	22579.169	1078.868	8245.635	2851.294
0.195	1242.50	0.7075	6.11	17.04	50.80	2.25	50318.218	3074.103	25563.596	8575.130
0.200	1227.90	0.7221	6.51	16.10	44.86	0.34	106465.373	6927.541	47763.575	17136.550
0.205	1213.20	0.7368	6.96	14.78	52.61	2.61	18466.363	1284.617	9714.913	2729.810
0.210	1198.60	0.7514	8.80	18.77	43.40	0.29	52854.613	4649.966	22939.832	9919.927
0.215	1183.90	0.7661	6.46	21.09	58.16	0.68	24917.729	1610.329	14492.965	5254.759
0.220	1169.30	0.7807	3.18	25.99	57.82	0.00	116428.561	3705.949	67324.738	30265.249
0.225	1154.70	0.7953	2.95	18.03	50.49	1.64	92587.267	2732.083	46748.981	16696.065
0.230	1140.00	0.8100	17.59	20.60	45.23	0.50	57329.020	10082.993	25927.697	11811.507
0.235	1125.40	0.8246	4.52	17.47	55.12	1.51	53669.271	2424.816	29582.761	9375.957
0.240	1110.80	0.8392	4.90	9.31	32.84	0.98	58461.065	2865.738	19200.448	5444.903
0.245	1096.10	0.8539	4.98	8.46	38.81	2.49	32341.923	1609.051	12550.597	2735.387
0.250	1081.50	0.8685	6.67	12.92	42.08	1.25	87732.262	5848.817	36920.660	11332.084
0.255	1066.80	0.8832	2.77	16.61	52.25	2.77	23302.047	645.039	12175.118	3870.236
0.260	1052.20	0.8978	6.55	15.28	40.61	0.87	71881.677	4708.407	29192.122	10986.282
0.265	1037.60	0.9124	14.29	9.05	35.71	2.86	16179.370	2311.338	5778.346	1463.848
0.270	1022.90	0.9271	9.19	13.99	44.26	1.25	67954.558	6242.172	30075.921	9505.126
0.275	1008.30	0.9417	16.31	7.73	24.89	0.86	42412.586	6917.074	10557.639	3276.509
0.280	993.65	0.9564	8.75	11.67	41.67	2.08	31793.014	2781.889	13247.089	3709.185
0.285	979.01	0.9710	9.33	6.00	31.00	2.33	20997.949	1959.809	6509.364	1259.877
0.290	964.37	0.9856	9.97	7.72	33.76	0.64	42761.195	4262.370	14437.059	3299.899
0.295	949.73	1.0003	13.81	14.93	36.19	3.73	38160.606	5268.442	13811.861	5695.613
0.300	935.09	1.0149	5.21	20.83	54.17	1.04	43684.195	2275.218	23662.272	9100.874
0.305	920.45	1.0296	11.01	11.59	35.94	2.03	45306.829	4990.317	16284.194	5252.966
0.310	905.82	1.0442	7.28	16.09	50.19	3.45	37143.215	2703.912	18642.763	5977.069
0.315	891.18	1.0588	12.15	15.47	52.49	1.10	29826.843	3625.362	15654.973	4614.097
0.320	876.54	1.0735	6.59	13.19	45.05	1.92	23185.867	1528.738	10446.380	3057.477
0.325	861.90	1.0881	7.39	12.32	41.38	0.99	17111.623	1264.406	7080.672	2107.343
0.335	832.62	1.1174	12.60	13.94	37.00	1.61	27861.405	3510.686	10307.973	3884.164
0.345	803.35	1.1466	6.17	16.67	45.68	2.78	24151.998	1490.864	11032.394	4025.333
