# Proxy series have been linearly interpolated to annual dataseries, then smoothed using a 25 yr Gaussian low pass filter.					The composite series  have been normalised to the period 1000 - 1974 AD.  

# N1	Malangen Fjord	δ18O of benthic foraminifera 
# N2	Vøring Plateau	δ18O of planktonic foraminifera 
# N3	Vøring Plateau	Planktonic foraminifera 
# N4	Ranafjord	δ18O of benthic foraminifera 
# N5	Norwegian Margin	δ18O of planktonic foraminifera 
# N6	Norwegian Channel	δ18O of benthic foraminifera 
# I1	North Iceland Shelf	Arctica islandica shell growth increments 
# I2	North Iceland Shelf, core site MD99-2275	Diatoms 
# I3	North Iceland Shelf, core site MD99-2276	Alkenones 
# S1	Loch Sunart 	δ18O of benthic foraminifera 
# N_comp	Norwegian Coast	Composite record derived from N1-N6, normalised for the period 1000 - 1974  AD
# I_Comp	North Iceland Shelf	Composite record derived from I1-I3, normalised for the period 1000 - 1974  AD
# NENA_Comp		Composite record derived from the 10 proxy records shown above, normalised for the period 1000 - 1974  AD
#													
#													
Year	N1	N2	N3	N4	N5	N6	I1	I2	I3	S1	N_comp	I_Comp	NENA_Comp
1996								7.088					
1995							3.309	7.070		9.532			
1994							3.319	7.069		9.484			
1993							3.335	7.079		9.446			
1992							3.346	7.095		9.424			
1991							3.353	7.117	6.640	9.409			
1990							3.356	7.142	6.637	9.402			
1989							3.351	7.165	6.593	9.403			
1988				2.298	1.148		3.335	7.186	6.510	9.413			
1987				2.302	1.134		3.305	7.202	6.397	9.433			
1986				2.304	1.123		3.269	7.213	6.263	9.461			
1985	6.684		10.444	2.306	1.115		3.211	7.218	6.122	9.498			
1984	6.653		10.393	2.306	1.112		3.138	7.218	5.985	9.544			
1983	6.637		10.351	2.305	1.112		3.062	7.213	5.862	9.595			
1982	6.637		10.322	2.302	1.117		2.980	7.204	5.760	9.647			
1981	6.651		10.306	2.299	1.125		2.896	7.191	5.680	9.693			
1980	6.688		10.304	2.296	1.135		2.840	7.177	5.622	9.732			
1979	6.737		10.318	2.293	1.145		2.807	7.161	5.580	9.760			
1978	6.797		10.346	2.291	1.154		2.799	7.144	5.555	9.775			
1977	6.863		10.387	2.290	1.161		2.821	7.125	5.535	9.776			
1976	6.927		10.439	2.289	1.167		2.871	7.104	5.514	9.766			
1975	6.976	2.078	10.502	2.288	1.171	2.528	2.933	7.083	5.485	9.751			
1974	7.008	2.069	10.572	2.289	1.174	2.513	3.011	7.060	5.447	9.730	1.489	-1.161	0.441
1973	7.020	2.059	10.649	2.289	1.176	2.497	3.085	7.038	5.403	9.707	1.545	-1.150	0.493
1972	7.015	2.049	10.731	2.291	1.178	2.481	3.154	7.017	5.361	9.685	1.585	-1.141	0.531
1971	7.002	2.040	10.817	2.292	1.180	2.468	3.202	7.000	5.329	9.664	1.615	-1.138	0.561
1970	6.989	2.032	10.906	2.294	1.184	2.458	3.225	6.988	5.315	9.648	1.630	-1.140	0.575
1969	6.982	2.028	10.996	2.296	1.188	2.454	3.225	6.985	5.326	9.639	1.637	-1.139	0.587
1968	6.981	2.027	11.083	2.297	1.191	2.455	3.197	6.994	5.361	9.635	1.646	-1.135	0.599
1967	6.992	2.029	11.165	2.298	1.193	2.460	3.153	7.015	5.421	9.634	1.657	-1.120	0.618
1966	7.011	2.034	11.240	2.298	1.192	2.469	3.108	7.051	5.499	9.635	1.682	-1.084	0.656
1965	7.037	2.042	11.304	2.296	1.189	2.478	3.072	7.099	5.586	9.641	1.720	-1.026	0.715
1964	7.071	2.052	11.355	2.292	1.184	2.487	3.059	7.157	5.674	9.649	1.777	-0.942	0.800
1963	7.106	2.063	11.392	2.287	1.177	2.494	3.067	7.222	5.751	9.659	1.847	-0.841	0.903
1962	7.142	2.075	11.414	2.280	1.168	2.498	3.095	7.290	5.812	9.670	1.935	-0.729	1.023
1961	7.172	2.087	11.420	2.272	1.159	2.497	3.139	7.355	5.851	9.680	2.023	-0.619	1.143
1960	7.197	2.098	11.412	2.263	1.150	2.493	3.206	7.414	5.869	9.684	2.114	-0.507	1.262
1959	7.203	2.109	11.390	2.253	1.143	2.488	3.267	7.463	5.866	9.681	2.183	-0.417	1.350
1958	7.201	2.118	11.355	2.244	1.137	2.481	3.329	7.500	5.847	9.666	2.234	-0.345	1.411
1957	7.189	2.126	11.308	2.237	1.134	2.477	3.391	7.525	5.814	9.639	2.249	-0.291	1.433
1956	7.168	2.132	11.251	2.230	1.132	2.476	3.445	7.537	5.774	9.600	2.238	-0.258	1.423
1955	7.141	2.137	11.185	2.226	1.132	2.478	3.480	7.536	5.733	9.550	2.192	-0.251	1.369
1954	7.111	2.141	11.112	2.225	1.132	2.486	3.507	7.525	5.694	9.492	2.116	-0.259	1.285
1953	7.082	2.143	11.036	2.227	1.131	2.497	3.519	7.505	5.659	9.433	2.021	-0.285	1.183
1952	7.052	2.145	10.959	2.231	1.128	2.512	3.532	7.477	5.627	9.372	1.913	-0.317	1.071
1951	7.024	2.145	10.883	2.237	1.123	2.529	3.538	7.445	5.598	9.310	1.801	-0.357	0.954
1950	6.997	2.145	10.810	2.245	1.118	2.548	3.535	7.409	5.571	9.252	1.679	-0.406	0.829
1949	6.970	2.145	10.741	2.255	1.113	2.566	3.523	7.370	5.549	9.195	1.548	-0.462	0.696
1948	6.942	2.144	10.677	2.264	1.109	2.584	3.496	7.330	5.537	9.137	1.422	-0.525	0.562
1947	6.918	2.142	10.618	2.274	1.108	2.600	3.471	7.290	5.537	9.074	1.289	-0.583	0.425
1946	6.888	2.139	10.564	2.282	1.110	2.614	3.434	7.250	5.555	9.011	1.158	-0.641	0.288
1945	6.858	2.136	10.514	2.290	1.117	2.625	3.385	7.210	5.594	8.949	1.014	-0.700	0.142
1944	6.832	2.133	10.469	2.297	1.128	2.634	3.338	7.173	5.652	8.887	0.870	-0.746	0.001
1943	6.803	2.129	10.427	2.303	1.142	2.641	3.303	7.139	5.726	8.826	0.726	-0.776	-0.131
1942	6.777	2.126	10.388	2.308	1.159	2.647	3.274	7.107	5.810	8.769	0.578	-0.795	-0.260
1941	6.756	2.123	10.351	2.312	1.178	2.654	3.254	7.080	5.897	8.718	0.433	-0.802	-0.379
1940	6.740	2.122	10.313	2.316	1.198	2.661	3.237	7.057	5.980	8.675	0.284	-0.805	-0.495
1939	6.726	2.122	10.271	2.320	1.218	2.669	3.219	7.038	6.054	8.640	0.133	-0.807	-0.610
1938	6.717	2.125	10.224	2.323	1.236	2.678	3.200	7.025	6.115	8.616	-0.010	-0.810	-0.715
1937	6.712	2.130	10.170	2.325	1.251	2.689	3.174	7.017	6.162	8.603	-0.145	-0.817	-0.812
1936	6.710	2.137	10.110	2.327	1.263	2.700	3.135	7.014	6.194	8.602	-0.273	-0.834	-0.904
1935	6.709	2.144	10.043	2.329	1.271	2.711	3.107	7.016	6.212	8.614	-0.389	-0.844	-0.976
1934	6.706	2.152	9.974	2.330	1.276	2.722	3.091	7.022	6.216	8.637	-0.490	-0.847	-1.030
1933	6.698	2.160	9.906	2.330	1.278	2.731	3.089	7.032	6.206	8.671	-0.577	-0.842	-1.062
1932	6.685	2.168	9.844	2.329	1.277	2.736	3.111	7.044	6.180	8.712	-0.643	-0.825	-1.069
1931	6.671	2.179	9.791	2.328	1.275	2.738	3.157	7.057	6.139	8.757	-0.700	-0.797	-1.062
1930	6.654	2.192	9.753	2.326	1.272	2.736	3.216	7.070	6.082	8.800	-0.741	-0.766	-1.045
1929	6.637	2.206	9.732	2.324	1.268	2.729	3.293	7.082	6.010	8.836	-0.765	-0.730	-1.016
1928	6.626	2.222	9.729	2.322	1.265	2.718	3.369	7.090	5.925	8.863	-0.777	-0.704	-0.990
1927	6.622	2.238	9.743	2.320	1.263	2.703	3.436	7.093	5.830	8.883	-0.771	-0.692	-0.965
1926	6.633	2.253	9.771	2.319	1.262	2.686	3.481	7.090	5.728	8.899	-0.746	-0.704	-0.945
1925	6.660	2.264	9.809	2.319	1.261	2.666	3.493	7.081	5.623	8.909	-0.697	-0.746	-0.928
1924	6.697	2.272	9.851	2.319	1.260	2.646	3.473	7.065	5.521	8.914	-0.631	-0.815	-0.918
1923	6.737	2.275	9.890	2.321	1.259	2.627	3.423	7.044	5.427	8.919	-0.560	-0.907	-0.919
1922	6.779	2.275	9.920	2.324	1.258	2.610	3.339	7.018	5.341	8.926	-0.493	-1.023	-0.937
1921	6.822	2.272	9.937	2.329	1.256	2.598	3.234	6.991	5.264	8.934	-0.431	-1.151	-0.966
1920	6.865	2.267	9.938	2.336	1.252	2.591	3.110	6.965	5.195	8.944	-0.379	-1.288	-1.008
1919	6.907	2.260	9.923	2.344	1.247	2.589	2.988	6.944	5.133	8.957	-0.339	-1.415	-1.051
1918	6.948	2.253	9.897	2.354	1.240	2.592	2.879	6.931	5.081	8.971	-0.311	-1.522	-1.091
1917	6.988	2.244	9.863	2.365	1.232	2.598	2.787	6.928	5.040	8.986	-0.289	-1.603	-1.118
1916	7.024	2.235	9.828	2.377	1.222	2.607	2.721	6.935	5.012	9.000	-0.269	-1.651	-1.129
1915	7.056	2.228	9.796	2.390	1.213	2.618	2.692	6.952	4.999	9.014	-0.266	-1.659	-1.126
1914	7.084	2.222	9.771	2.404	1.204	2.629	2.685	6.975	5.000	9.028	-0.269	-1.640	-1.113
1913	7.102	2.216	9.757	2.417	1.197	2.640	2.711	7.000	5.014	9.042	-0.279	-1.591	-1.088
1912	7.105	2.212	9.752	2.429	1.193	2.652	2.761	7.023	5.040	9.054	-0.310	-1.524	-1.069
1911	7.088	2.208	9.757	2.441	1.191	2.663	2.823	7.038	5.077	9.064	-0.360	-1.453	-1.063
1910	7.049	2.205	9.769	2.451	1.193	2.675	2.883	7.041	5.121	9.075	-0.432	-1.392	-1.080
1909	6.987	2.204	9.785	2.459	1.198	2.685	2.947	7.029	5.172	9.085	-0.527	-1.342	-1.122
1908	6.902	2.202	9.805	2.465	1.206	2.694	2.990	7.002	5.229	9.095	-0.635	-1.318	-1.192
1907	6.798	2.202	9.825	2.469	1.215	2.701	3.009	6.961	5.290	9.104	-0.756	-1.323	-1.288
1906	6.683	2.203	9.844	2.470	1.227	2.705	3.003	6.908	5.356	9.112	-0.883	-1.355	-1.407
1905	6.562	2.204	9.863	2.469	1.240	2.707	2.962	6.849	5.423	9.118	-1.008	-1.417	-1.542
1904	6.446	2.205	9.882	2.466	1.254	2.707	2.894	6.788	5.490	9.122	-1.121	-1.498	-1.682
1903	6.346	2.207	9.902	2.460	1.268	2.704	2.809	6.731	5.552	9.124	-1.213	-1.589	-1.809
1902	6.271	2.209	9.924	2.453	1.281	2.699	2.703	6.683	5.607	9.122	-1.276	-1.688	-1.921
1901	6.222	2.211	9.950	2.445	1.292	2.693	2.607	6.647	5.652	9.116	-1.307	-1.772	-2.001
1900	6.196	2.212	9.981	2.437	1.301	2.686	2.530	6.628	5.692	9.106	-1.310	-1.827	-2.042
1899	6.191	2.213	10.019	2.428	1.307	2.678	2.473	6.627	5.726	9.095	-1.281	-1.854	-2.041
1898	6.204	2.214	10.063	2.420	1.310	2.670	2.452	6.643	5.751	9.083	-1.228	-1.842	-1.999
1897	6.232	2.215	10.113	2.412	1.309	2.661	2.460	6.675	5.769	9.072	-1.148	-1.797	-1.915
1896	6.268	2.215	10.167	2.406	1.306	2.652	2.508	6.718	5.781	9.062	-1.057	-1.716	-1.801
1895	6.306	2.215	10.225	2.401	1.302	2.644	2.596	6.769	5.791	9.054	-0.964	-1.602	-1.663
1894	6.344	2.216	10.284	2.397	1.297	2.635	2.710	6.824	5.803	9.045	-0.872	-1.464	-1.513
1893	6.379	2.216	10.342	2.395	1.291	2.626	2.843	6.881	5.819	9.036	-0.782	-1.311	-1.355
1892	6.409	2.217	10.397	2.394	1.286	2.618	2.980	6.939	5.836	9.026	-0.705	-1.153	-1.205
1891	6.436	2.219	10.446	2.394	1.280	2.609	3.113	6.996	5.851	9.015	-0.633	-1.000	-1.062
1890	6.461	2.221	10.490	2.395	1.275	2.599	3.224	7.053	5.859	9.004	-0.571	-0.864	-0.937
1889	6.484	2.223	10.526	2.397	1.268	2.590	3.315	7.111	5.857	8.996	-0.508	-0.745	-0.820
1888	6.507	2.227	10.553	2.399	1.261	2.580	3.377	7.168	5.848	8.992	-0.451	-0.649	-0.719
1887	6.526	2.231	10.574	2.401	1.253	2.571	3.404	7.224	5.827	8.997	-0.395	-0.582	-0.632
1886	6.544	2.236	10.587	2.404	1.245	2.561	3.408	7.276	5.800	9.010	-0.348	-0.537	-0.560
1885	6.560	2.241	10.594	2.407	1.236	2.552	3.379	7.319	5.770	9.032	-0.301	-0.525	-0.504
1884	6.571	2.247	10.598	2.410	1.228	2.543	3.342	7.349	5.742	9.060	-0.264	-0.530	-0.464
1883	6.578	2.252	10.600	2.413	1.220	2.534	3.317	7.361	5.718	9.094	-0.229	-0.544	-0.429
1882	6.582	2.257	10.601	2.416	1.214	2.525	3.297	7.355	5.700	9.133	-0.206	-0.571	-0.409
1881	6.580	2.262	10.602	2.419	1.208	2.516	3.307	7.330	5.687	9.172	-0.188	-0.594	-0.392
1880	6.579	2.265	10.606	2.421	1.203	2.509	3.337	7.290	5.678	9.211	-0.166	-0.618	-0.374
1879	6.581	2.268	10.614	2.424	1.200	2.501	3.384	7.238	5.663	9.246	-0.153	-0.645	-0.366
1878	6.588	2.270	10.625	2.426	1.197	2.494	3.454	7.181	5.647	9.278	-0.131	-0.662	-0.348
1877	6.596	2.270	10.641	2.428	1.193	2.487	3.507	7.124	5.639	9.305	-0.102	-0.687	-0.330
1876	6.607	2.269	10.662	2.430	1.190	2.481	3.555	7.068	5.641	9.328	-0.072	-0.711	-0.312
1875	6.618	2.267	10.686	2.432	1.186	2.475	3.577	7.019	5.653	9.349	-0.038	-0.741	-0.293
1874	6.630	2.264	10.715	2.433	1.182	2.470	3.558	6.977	5.668	9.368	0.002	-0.790	-0.281
1873	6.634	2.261	10.746	2.434	1.178	2.465	3.509	6.945	5.686	9.390	0.035	-0.849	-0.277
1872	6.630	2.257	10.779	2.434	1.176	2.461	3.431	6.925	5.705	9.419	0.061	-0.914	-0.278
1871	6.621	2.252	10.812	2.435	1.176	2.458	3.328	6.917	5.725	9.456	0.072	-0.984	-0.288
1870	6.602	2.248	10.846	2.436	1.179	2.456	3.197	6.922	5.743	9.500	0.060	-1.060	-0.313
1869	6.573	2.244	10.878	2.436	1.185	2.455	3.055	6.934	5.754	9.550	0.031	-1.140	-0.350
1868	6.538	2.240	10.908	2.436	1.194	2.455	2.911	6.949	5.761	9.600	-0.015	-1.219	-0.400
1867	6.500	2.237	10.936	2.437	1.205	2.456	2.776	6.961	5.767	9.641	-0.078	-1.295	-0.467
1866	6.463	2.234	10.961	2.438	1.218	2.459	2.656	6.968	5.774	9.666	-0.153	-1.366	-0.547
1865	6.426	2.232	10.981	2.438	1.231	2.462	2.563	6.970	5.784	9.670	-0.229	-1.423	-0.631
1864	6.392	2.231	10.998	2.439	1.243	2.467	2.503	6.968	5.796	9.651	-0.310	-1.461	-0.718
1863	6.365	2.231	11.012	2.440	1.253	2.473	2.462	6.968	5.814	9.609	-0.383	-1.481	-0.801
1862	6.347	2.231	11.022	2.442	1.259	2.481	2.437	6.974	5.842	9.547	-0.441	-1.481	-0.870
1861	6.339	2.232	11.030	2.443	1.261	2.491	2.442	6.987	5.866	9.471	-0.484	-1.456	-0.916
1860	6.343	2.233	11.035	2.445	1.259	2.502	2.469	7.010	5.885	9.388	-0.509	-1.407	-0.940
1859	6.358	2.234	11.039	2.446	1.253	2.517	2.512	7.041	5.901	9.307	-0.517	-1.340	-0.938
1858	6.382	2.235	11.041	2.448	1.243	2.534	2.581	7.077	5.912	9.233	-0.511	-1.253	-0.910
1857	6.415	2.237	11.042	2.450	1.233	2.555	2.657	7.114	5.912	9.172	-0.508	-1.164	-0.878
1856	6.453	2.238	11.043	2.452	1.222	2.579	2.761	7.151	5.899	9.125	-0.504	-1.062	-0.828
1855	6.487	2.238	11.043	2.454	1.213	2.606	2.864	7.186	5.875	9.094	-0.513	-0.966	-0.788
1854	6.516	2.238	11.042	2.456	1.205	2.637	2.976	7.217	5.846	9.077	-0.536	-0.870	-0.751
1853	6.537	2.237	11.042	2.457	1.200	2.670	3.088	7.245	5.817	9.072	-0.576	-0.778	-0.722
1852	6.557	2.235	11.040	2.458	1.197	2.704	3.190	7.268	5.786	9.074	-0.625	-0.698	-0.706
1851	6.570	2.233	11.039	2.458	1.196	2.740	3.280	7.287	5.751	9.082	-0.685	-0.631	-0.702
1850	6.571	2.229	11.036	2.458	1.196	2.774	3.363	7.301	5.715	9.093	-0.751	-0.575	-0.709
1849	6.567	2.224	11.034	2.457	1.196	2.807	3.441	7.312	5.680	9.105	-0.812	-0.525	-0.716
1848	6.561	2.219	11.031	2.455	1.196	2.838	3.512	7.320	5.643	9.118	-0.868	-0.484	-0.723
1847	6.556	2.213	11.028	2.452	1.194	2.864	3.576	7.326	5.604	9.128	-0.902	-0.449	-0.719
1846	6.552	2.207	11.024	2.448	1.192	2.886	3.646	7.328	5.566	9.136	-0.925	-0.415	-0.707
1845	6.546	2.200	11.021	2.443	1.189	2.901	3.726	7.328	5.534	9.141	-0.927	-0.373	-0.677
1844	6.539	2.193	11.018	2.437	1.185	2.911	3.801	7.324	5.509	9.142	-0.911	-0.337	-0.639
1843	6.533	2.186	11.015	2.431	1.182	2.915	3.884	7.316	5.492	9.138	-0.889	-0.295	-0.595
1842	6.524	2.179	11.012	2.424	1.178	2.914	3.967	7.302	5.481	9.128	-0.850	-0.258	-0.545
1841	6.515	2.173	11.011	2.416	1.176	2.907	4.044	7.280	5.480	9.111	-0.807	-0.229	-0.500
1840	6.507	2.166	11.010	2.409	1.176	2.897	4.093	7.247	5.499	9.087	-0.766	-0.222	-0.473
1839	6.504	2.161	11.011	2.401	1.178	2.884	4.110	7.200	5.533	9.054	-0.723	-0.245	-0.467
1838	6.507	2.156	11.014	2.393	1.182	2.870	4.095	7.138	5.581	9.015	-0.681	-0.299	-0.483
1837	6.518	2.151	11.018	2.386	1.187	2.855	4.040	7.062	5.647	8.971	-0.636	-0.387	-0.523
1836	6.538	2.147	11.024	2.379	1.194	2.841	3.944	6.973	5.729	8.926	-0.596	-0.511	-0.586
1835	6.569	2.144	11.031	2.372	1.202	2.827	3.814	6.874	5.821	8.885	-0.556	-0.663	-0.665
1834	6.608	2.142	11.040	2.367	1.209	2.816	3.654	6.773	5.914	8.854	-0.517	-0.837	-0.753
1833	6.654	2.140	11.051	2.362	1.215	2.806	3.474	6.676	5.997	8.836	-0.474	-1.024	-0.838
1832	6.701	2.138	11.062	2.358	1.219	2.800	3.296	6.592	6.062	8.836	-0.430	-1.204	-0.910
1831	6.745	2.137	11.075	2.355	1.221	2.795	3.129	6.528	6.102	8.853	-0.390	-1.366	-0.964
1830	6.787	2.136	11.088	2.354	1.221	2.793	2.976	6.490	6.114	8.888	-0.356	-1.503	-0.997
1829	6.821	2.135	11.102	2.353	1.219	2.793	2.856	6.479	6.098	8.934	-0.322	-1.601	-1.002
1828	6.841	2.134	11.117	2.353	1.216	2.795	2.764	6.494	6.061	8.989	-0.302	-1.662	-0.989
1827	6.846	2.133	11.132	2.354	1.212	2.799	2.707	6.528	6.014	9.046	-0.294	-1.685	-0.960
1826	6.835	2.132	11.147	2.356	1.208	2.804	2.686	6.576	5.965	9.102	-0.303	-1.669	-0.922
1825	6.810	2.131	11.164	2.358	1.204	2.811	2.686	6.629	5.925	9.153	-0.325	-1.631	-0.882
1824	6.777	2.130	11.182	2.361	1.201	2.819	2.700	6.686	5.905	9.193	-0.360	-1.571	-0.845
1823	6.739	2.129	11.201	2.364	1.200	2.828	2.711	6.742	5.910	9.218	-0.409	-1.505	-0.822
1822	6.696	2.127	11.221	2.367	1.201	2.839	2.705	6.798	5.942	9.228	-0.470	-1.440	-0.815
1821	6.657	2.126	11.242	2.370	1.204	2.852	2.667	6.854	5.993	9.222	-0.540	-1.389	-0.831
1820	6.619	2.124	11.265	2.373	1.210	2.866	2.598	6.908	6.053	9.203	-0.622	-1.358	-0.873
1819	6.587	2.122	11.290	2.377	1.216	2.882	2.518	6.957	6.119	9.172	-0.703	-1.337	-0.927
1818	6.558	2.120	11.315	2.381	1.224	2.899	2.422	6.999	6.177	9.135	-0.792	-1.336	-1.004
1817	6.532	2.117	11.342	2.385	1.232	2.917	2.319	7.031	6.219	9.095	-0.879	-1.357	-1.092
1816	6.507	2.115	11.369	2.390	1.240	2.934	2.209	7.054	6.240	9.054	-0.970	-1.400	-1.199
1815	6.478	2.112	11.397	2.395	1.248	2.952	2.121	7.068	6.235	9.014	-1.062	-1.447	-1.309
1814	6.444	2.109	11.425	2.401	1.253	2.969	2.062	7.080	6.206	8.976	-1.146	-1.486	-1.409
1813	6.406	2.107	11.452	2.407	1.257	2.983	2.030	7.092	6.159	8.941	-1.228	-1.513	-1.499
1812	6.366	2.104	11.478	2.413	1.258	2.996	2.023	7.106	6.104	8.909	-1.293	-1.525	-1.566
1811	6.326	2.101	11.503	2.420	1.258	3.004	2.031	7.125	6.045	8.882	-1.351	-1.523	-1.618
1810	6.287	2.099	11.525	2.426	1.256	3.009	2.069	7.145	5.990	8.859	-1.394	-1.499	-1.642
1809	6.252	2.096	11.544	2.434	1.253	3.010	2.129	7.165	5.951	8.842	-1.426	-1.453	-1.643
1808	6.221	2.093	11.559	2.441	1.249	3.006	2.184	7.183	5.931	8.829	-1.439	-1.406	-1.628
1807	6.194	2.090	11.568	2.448	1.245	2.998	2.258	7.196	5.931	8.819	-1.441	-1.343	-1.596
1806	6.167	2.088	11.572	2.455	1.242	2.985	2.337	7.205	5.954	8.809	-1.443	-1.271	-1.558
1805	6.139	2.085	11.569	2.462	1.239	2.970	2.413	7.208	5.996	8.798	-1.435	-1.201	-1.517
1804	6.105	2.082	11.560	2.469	1.237	2.951	2.502	7.205	6.052	8.787	-1.430	-1.122	-1.475
1803	6.063	2.079	11.545	2.475	1.235	2.929	2.596	7.195	6.117	8.777	-1.425	-1.044	-1.432
1802	6.013	2.077	11.525	2.480	1.235	2.906	2.693	7.180	6.186	8.770	-1.425	-0.967	-1.397
1801	5.959	2.074	11.500	2.485	1.235	2.881	2.793	7.161	6.254	8.770	-1.423	-0.892	-1.359
1800	5.903	2.071	11.472	2.489	1.236	2.854	2.903	7.140	6.313	8.782	-1.418	-0.817	-1.314
1799	5.854	2.069	11.441	2.492	1.237	2.825	3.007	7.119	6.360	8.809	-1.406	-0.749	-1.261
1798	5.814	2.066	11.408	2.493	1.238	2.795	3.101	7.099	6.385	8.854	-1.374	-0.697	-1.195
1797	5.791	2.063	11.374	2.494	1.239	2.763	3.195	7.081	6.391	8.915	-1.329	-0.649	-1.113
1796	5.787	2.061	11.339	2.494	1.239	2.729	3.289	7.065	6.378	8.988	-1.261	-0.607	-1.013
1795	5.804	2.059	11.305	2.493	1.239	2.694	3.387	7.051	6.354	9.069	-1.175	-0.565	-0.893
1794	5.837	2.057	11.271	2.492	1.238	2.659	3.475	7.036	6.322	9.154	-1.071	-0.533	-0.766
1793	5.882	2.056	11.239	2.490	1.236	2.623	3.551	7.021	6.286	9.236	-0.954	-0.511	-0.634
1792	5.930	2.056	11.209	2.487	1.233	2.588	3.630	7.004	6.254	9.312	-0.829	-0.487	-0.500
1791	5.976	2.056	11.181	2.485	1.229	2.554	3.706	6.987	6.227	9.379	-0.707	-0.464	-0.372
1790	6.016	2.058	11.157	2.482	1.225	2.523	3.767	6.972	6.207	9.434	-0.596	-0.446	-0.260
1789	6.051	2.061	11.136	2.479	1.222	2.496	3.808	6.962	6.195	9.475	-0.498	-0.433	-0.169
1788	6.079	2.066	11.118	2.476	1.219	2.474	3.829	6.957	6.190	9.505	-0.420	-0.426	-0.099
1787	6.104	2.072	11.104	2.473	1.218	2.457	3.827	6.958	6.195	9.525	-0.363	-0.424	-0.053
1786	6.125	2.079	11.093	2.470	1.219	2.448	3.788	6.965	6.208	9.538	-0.331	-0.438	-0.039
1785	6.145	2.087	11.085	2.467	1.221	2.447	3.721	6.975	6.225	9.543	-0.319	-0.467	-0.051
1784	6.164	2.096	11.080	2.464	1.226	2.452	3.631	6.984	6.241	9.541	-0.336	-0.512	-0.098
1783	6.182	2.106	11.076	2.461	1.232	2.465	3.516	6.991	6.250	9.534	-0.373	-0.579	-0.175
1782	6.197	2.117	11.074	2.458	1.239	2.484	3.391	6.995	6.249	9.523	-0.428	-0.659	-0.277
1781	6.208	2.128	11.073	2.455	1.245	2.508	3.264	6.997	6.235	9.511	-0.493	-0.748	-0.390
1780	6.215	2.139	11.073	2.453	1.251	2.535	3.132	7.000	6.206	9.496	-0.572	-0.846	-0.520
1779	6.217	2.150	11.073	2.450	1.254	2.565	3.005	7.008	6.163	9.482	-0.646	-0.940	-0.642
1778	6.215	2.161	11.074	2.449	1.253	2.594	2.900	7.026	6.104	9.467	-0.714	-1.015	-0.748
1777	6.210	2.172	11.076	2.447	1.249	2.623	2.821	7.055	6.038	9.455	-0.768	-1.065	-0.827
1776	6.204	2.181	11.077	2.446	1.241	2.649	2.777	7.096	5.970	9.444	-0.805	-1.079	-0.869
1775	6.198	2.191	11.080	2.445	1.229	2.672	2.773	7.145	5.904	9.434	-0.823	-1.058	-0.874
1774	6.193	2.199	11.083	2.444	1.215	2.691	2.809	7.199	5.844	9.424	-0.822	-1.002	-0.843
1773	6.189	2.206	11.087	2.444	1.199	2.706	2.893	7.252	5.801	9.413	-0.803	-0.908	-0.779
1772	6.188	2.211	11.092	2.444	1.183	2.716	3.010	7.300	5.782	9.405	-0.772	-0.788	-0.686
1771	6.188	2.215	11.098	2.445	1.169	2.722	3.158	7.338	5.787	9.399	-0.737	-0.648	-0.581
1770	6.187	2.217	11.106	2.445	1.159	2.725	3.301	7.364	5.820	9.398	-0.706	-0.513	-0.477
1769	6.184	2.218	11.115	2.446	1.152	2.724	3.438	7.378	5.876	9.398	-0.682	-0.384	-0.383
1768	6.179	2.218	11.124	2.447	1.150	2.722	3.553	7.380	5.945	9.398	-0.672	-0.278	-0.314
1767	6.172	2.216	11.135	2.448	1.153	2.718	3.632	7.374	6.019	9.396	-0.673	-0.202	-0.273
1766	6.165	2.213	11.146	2.448	1.161	2.714	3.682	7.362	6.091	9.393	-0.688	-0.153	-0.259
1765	6.159	2.210	11.158	2.449	1.172	2.711	3.700	7.349	6.156	9.390	-0.717	-0.129	-0.270
1764	6.154	2.206	11.170	2.450	1.185	2.708	3.691	7.339	6.210	9.388	-0.751	-0.124	-0.297
1763	6.150	2.202	11.182	2.451	1.200	2.707	3.658	7.333	6.247	9.389	-0.795	-0.138	-0.341
1762	6.146	2.198	11.195	2.452	1.216	2.708	3.633	7.335	6.265	9.392	-0.846	-0.146	-0.385
1761	6.141	2.194	11.207	2.453	1.230	2.711	3.610	7.344	6.257	9.398	-0.895	-0.155	-0.427
1760	6.134	2.190	11.219	2.454	1.243	2.716	3.590	7.359	6.225	9.403	-0.944	-0.166	-0.471
1759	6.126	2.186	11.231	2.455	1.254	2.723	3.587	7.380	6.174	9.407	-0.990	-0.166	-0.508
1758	6.117	2.183	11.242	2.456	1.262	2.731	3.591	7.404	6.113	9.407	-1.029	-0.163	-0.540
1757	6.109	2.180	11.252	2.458	1.267	2.741	3.593	7.429	6.052	9.403	-1.059	-0.160	-0.568
1756	6.102	2.178	11.262	2.459	1.268	2.750	3.589	7.454	5.998	9.393	-1.073	-0.158	-0.588
1755	6.094	2.177	11.270	2.460	1.267	2.758	3.577	7.477	5.956	9.380	-1.080	-0.159	-0.606
1754	6.086	2.176	11.277	2.462	1.262	2.765	3.553	7.497	5.930	9.364	-1.071	-0.165	-0.618
1753	6.075	2.177	11.283	2.464	1.254	2.770	3.517	7.513	5.916	9.345	-1.053	-0.179	-0.629
